Dataset 0,,Dataset 1,,Dataset 2,,Dataset 3,,Dataset 4,,Dataset 5,,Dataset 6,,Dataset 7,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
3.607127290210849,57.49509475335281,4.360369516809676,46.153663500586376,2.284691976462088,70.33615411957295,4.254725453629614,59.81080151571686,10.483897457134423,65.00363838847446,1.953904681904366,59.248140016457256,3.5940838432135336,61.89213033203622,4.067253965536748,48.50437694807348
3.7712292691001914,51.912066765874236,4.597733312167014,41.41510227325162,2.4511296618844436,68.015706573865,4.371594514225611,55.454512677653284,3.4507435871843497,46.38152216670679,2.186716117198575,57.51603447580508,3.7143574455257826,63.175588372939615,4.271287937316826,51.2524159437041
3.8658185806584613,48.52848518115997,4.891454077883951,39.71967866354896,2.5928673924499566,64.0418959166919,4.513456031568182,50.54824998892448,3.8330113959946677,46.86237325552039,2.369667247809329,55.945232457248444,3.9368324043106253,64.22078665960102,4.450503439810271,55.4744880707821
4.098535227085602,47.51039832462098,5.278013055562271,47.83122915985458,2.717951413952435,60.375009246222234,4.638727002730006,45.473122520887614,6.945145400210187,64.0056833193403,2.5523591830252053,56.326878658647246,4.129426419974253,65.09731609418198,4.645164538748043,59.55138162089152
4.513366231588856,51.22468874229487,5.609150479332321,56.28181539629382,2.843024878612105,56.787644393485124,4.755661542477593,40.623597091824806,7.534423810446425,65.1321313034646,2.735102140956609,56.324184659267424,4.395339125426116,64.30421900403071,4.856696808801962,61.68326884602655
4.712228285809539,54.94216297741764,6.002294788827989,56.50149880026675,2.9930084299182664,53.27077718945405,4.9717277760711,39.88760462489134,8.171795157827576,63.98760003053023,2.918238994251881,53.354384309876586,4.569787558600305,64.21145562538544,5.039689522925871,59.79922956383534
4.903187941849408,55.615785276890946,6.1819620974674265,58.81001135974151,3.1840012167080833,53.69483458522176,5.17065468583241,43.11653976035771,8.434519510968373,64.95669991721611,3.101396256633364,50.23084788017429,4.831896379689752,65.25606962906447,5.16049855761486,57.049421537767806
5.144360752996551,53.4701780435507,6.43899208829748,62.357518724900835,3.366394771083559,56.32410228077399,5.327852044089017,47.830494432750996,8.976307760353366,63.813577731721495,3.284512700842424,47.414783611094904,4.985194966720867,63.583854794863164,5.271756990335792,53.24282082316252
5.4772343097002665,48.84294838149581,6.665737036099346,64.60896747933022,3.5486289645108697,60.15379253675814,5.485030070405632,52.69007133677261,9.430262892660807,64.29337200495529,3.4673556632962605,46.65878281818897,5.2403045475763435,60.74046600624761,5.43580658590386,48.054382108483345
5.792551970445459,51.3185705388645,6.837445821570887,64.29640232401198,3.7311755530177826,61.63029585677499,5.638869632824116,57.66920140236325,9.868309036360325,64.61123864657151,3.65010882577077,46.57922077865341,5.3927549791479485,59.49808329225205,5.627318137650009,44.57072456953448
